iati-identifier,reporting-org,sector(name),sector(code),other-identifier,title,activity-scope,budget,recipient-country,recipient-country(percentage),recipient-region,recipient-region(percentage),contact-info,budget(period-start),budget(period-end),description
2009 CLI 317,Verulam Associates Ltd.,Environmental Research,41082,Climate: Asian Cities,Asian Cities evaluation,3,1200000,India,0,,,"Dayal, Ashvin",11/1/09,12/31/14,"in support of an evaluation of the Asian Cities Climate Change Resilience Network component of the Foundation's Building Climate Change Resilience initiative, to capture and share lessons learned about the relevance, effectiveness, efficiency, influence, impact and sustainability of the effort, and to foster learning, accountability and performance improvements in the Foundation and among its grantees"
2009 CLI 317,Verulam Associates Ltd.,Environmental Research,41082,Climate: Asian Cities,Asian Cities evaluation,3,1200000,Indonesia,0,,,"Dayal, Ashvin",11/1/09,12/31/14,"in support of an evaluation of the Asian Cities Climate Change Resilience Network component of the Foundation's Building Climate Change Resilience initiative, to capture and share lessons learned about the relevance, effectiveness, efficiency, influence, impact and sustainability of the effort, and to foster learning, accountability and performance improvements in the Foundation and among its grantees"
2009 CLI 317,Verulam Associates Ltd.,Environmental Research,41082,Climate: Asian Cities,Asian Cities evaluation,3,1200000,Thailand,0,,,"Dayal, Ashvin",11/1/09,12/31/14,"in support of an evaluation of the Asian Cities Climate Change Resilience Network component of the Foundation's Building Climate Change Resilience initiative, to capture and share lessons learned about the relevance, effectiveness, efficiency, influence, impact and sustainability of the effort, and to foster learning, accountability and performance improvements in the Foundation and among its grantees"
2009 CLI 324,Michigan State University,Environmental Research,41082,Climate: African Ag,Sub-Saharan Africa climate science support,3,430000,Kenya,0,,,"Boltz, Fred",1/1/10,12/31/14,"in support of a research project, in collaboration with several East African universities and agricultural research centers, to use a regional climate model to test different methods of building climate resilience in an effort to improve food production in East Africa while building the capacity of African researchers to use the model to further their own work"
2009 CLI 324,Michigan State University,Environmental Research,41082,Climate: African Ag,Sub-Saharan Africa climate science support,3,430000,Tanzania,0,,,"Boltz, Fred",1/1/10,12/31/14,"in support of a research project, in collaboration with several East African universities and agricultural research centers, to use a regional climate model to test different methods of building climate resilience in an effort to improve food production in East Africa while building the capacity of African researchers to use the model to further their own work"
2009 CLI 324,Michigan State University,Environmental Research,41082,Climate: African Ag,Sub-Saharan Africa climate science support,3,430000,Uganda,0,,,"Boltz, Fred",1/1/10,12/31/14,"in support of a research project, in collaboration with several East African universities and agricultural research centers, to use a regional climate model to test different methods of building climate resilience in an effort to improve food production in East Africa while building the capacity of African researchers to use the model to further their own work"
2010 CLI 304,Ethiopian Institute of Agricultural Research,Environmental Research,41082,Climate: African Ag,Build institutional capacity in CC adaptation research for Ethiopian agriculture,2,420000,,,EasternAfrica,0,"Boltz, Fred",6/1/10,5/31/13,in support of the mainstreaming of climate change adaptation into food security and sustainable development in Ethiopia
2010 CLI 304,Ethiopian Institute of Agricultural Research,Environmental Research,41082,Climate: African Ag,Build institutional capacity in CC adaptation research for Ethiopian agriculture,2,420000,Ethiopia,0,,,"Boltz, Fred",6/1/10,5/31/13,in support of the mainstreaming of climate change adaptation into food security and sustainable development in Ethiopia
2010 CLI 305,Egerton University,Environmental Research,41082,Climate: African Ag,Training on climate change adaptation in agricultural and livestock sector in Kenya,2,483900,,,EasternAfrica,0,"Boltz, Fred",6/1/10,5/31/14,in support of an initiative to help farmers and pastoralists in Kenya to adequately adapt to climate change as part of an effort to lead a regional climate change adaptation movement
2010 CLI 305,Egerton University,Environmental Research,41082,Climate: African Ag,Training on climate change adaptation in agricultural and livestock sector in Kenya,2,483900,Kenya,0,,,"Boltz, Fred",6/1/10,5/31/14,in support of an initiative to help farmers and pastoralists in Kenya to adequately adapt to climate change as part of an effort to lead a regional climate change adaptation movement
2010 CLI 308,Egerton University,Environmental Research,41082,Climate: African Ag,Build internal climate adpatation capacity/overall strategy,2,297500,,,EasternAfrica,50000,"Boltz, Fred",9/1/10,12/31/14,for use by its Tegemeo Institute of Agricultural Policy and Development in support of building institutional capacity in climate change research and analysis by conducting a socio-economic study on the effects of climate change on rural communities in Kenya and identifying adaptation responses
2010 CLI 308,Egerton University,Environmental Research,41082,Climate: African Ag,Build internal climate adpatation capacity/overall strategy,2,297500,Kenya,247500,,,"Boltz, Fred",9/1/10,12/31/14,for use by its Tegemeo Institute of Agricultural Policy and Development in support of building institutional capacity in climate change research and analysis by conducting a socio-economic study on the effects of climate change on rural communities in Kenya and identifying adaptation responses
2010 CLI 314,University of Reading,Environmental Research,41082,Climate: African Ag,Capacity building support to East African Agriculture Adaptation Units,3,599400,Ethiopia,119880,,,"Boltz, Fred",10/1/10,5/31/14,"for use by its Walker Institute for Climate System Research in collaboration with its Statistical Services Centre, in support of providing capacity building assistance to the climate change units of seven agriculture research and development institutions in East and Central Africa"
