type,region,country,partner,program_name,award_date,expiration_date,fy14_contrib,notes,implementer,lat,long,city
Development,ANE,Bangladesh,ACDI,Program for Strengthening Household Access to Resources (PROSHAR),5/24/10,," $7,384,000 ",FFP anticipates awarding new programs in FY15,ACDI,22.816667,89.55,Khulna
Development,ANE,Bangladesh,ACDI,Program for Strengthening Household Access to Resources (PROSHAR),5/24/10,," $7,384,000 ",FFP anticipates awarding new programs in FY15,ACDI,23.1656982,89.4990219,Narail
Development,ANE,Bangladesh,ACDI,Program for Strengthening Household Access to Resources (PROSHAR),5/24/10,," $7,384,000 ",FFP anticipates awarding new programs in FY15,ACDI,22.6554516,89.7661527,"Bagerhat
"
Development,ANE,Bangladesh,CARE,Strengthening Households' Ability to Partner for New Opportunities (SHAPNO),2/17/04,," $18,475,000 ",FFP anticipates awarding new programs in FY15,CARE,24.753889,90.40305599999999,Mymensingh
Development,ANE,Bangladesh,CARE,Strengthening Households' Ability to Partner for New Opportunities (SHAPNO),2/17/04,," $18,475,000 ",FFP anticipates awarding new programs in FY15,CARE,24.9249785,89.9463408,Jamalpur
Development,ANE,Bangladesh,CARE,Strengthening Households' Ability to Partner for New Opportunities (SHAPNO),2/17/04,," $18,475,000 ",FFP anticipates awarding new programs in FY15,CARE,25.066667,91.39999999999999,Sunamganj
Development,ANE,Bangladesh,CARE,Strengthening Households' Ability to Partner for New Opportunities (SHAPNO),2/17/04,," $18,475,000 ",FFP anticipates awarding new programs in FY15,CARE,21.4394636,92.0077316,Cox's Bazaar
Development,ANE,Bangladesh,CARE,Strengthening Households' Ability to Partner for New Opportunities (SHAPNO),2/17/04,," $18,475,000 ",FFP anticipates awarding new programs in FY15,CARE,25.810346,89.6486979,Kurigram
Development,ANE,Bangladesh,CARE,Strengthening Households' Ability to Partner for New Opportunities (SHAPNO),2/17/04,," $18,475,000 ",FFP anticipates awarding new programs in FY15,CARE,25.941667,88.846667,Nilphamari
Development,ANE,Bangladesh,CARE,Strengthening Households' Ability to Partner for New Opportunities (SHAPNO),2/17/04,," $18,475,000 ",FFP anticipates awarding new programs in FY15,CARE,25.7438916,89.275227,Rangpur
Development,ANE,Bangladesh,CARE,Strengthening Households' Ability to Partner for New Opportunities (SHAPNO),2/17/04,," $18,475,000 ",FFP anticipates awarding new programs in FY15,CARE,25.6210504,88.64343079999999,Dinajpur
Development,ANE,Bangladesh,CARE,Strengthening Households' Ability to Partner for New Opportunities (SHAPNO),2/17/04,," $18,475,000 ",FFP anticipates awarding new programs in FY15,CARE,24.85,89.36666699999999,Bogra
Development,ANE,Bangladesh,CARE,Strengthening Households' Ability to Partner for New Opportunities (SHAPNO),2/17/04,," $18,475,000 ",FFP anticipates awarding new programs in FY15,CARE,24.4645469,89.69102230000001,Sirajganj
Development,ANE,Bangladesh,CARE,Strengthening Households' Ability to Partner for New Opportunities (SHAPNO),2/17/04,," $18,475,000 ",FFP anticipates awarding new programs in FY15,CARE,24.016667,89.216667,Pabna
Development,ANE,Bangladesh,Save the Children,Nobo Jibon,6/30/04,," $7,266,000 ",FFP anticipates awarding new programs in FY15,Save the Children,22.7,90.36666699999999,Barisal
Development,ANE,Bangladesh,Save the Children,Nobo Jibon,6/30/04,," $7,266,000 ",FFP anticipates awarding new programs in FY15,Save the Children,22.157885,90.11440789999999,Barguna
Development,ANE,Bangladesh,Save the Children,Nobo Jibon,6/30/04,," $7,266,000 ",FFP anticipates awarding new programs in FY15,Save the Children,22.3542954,90.3348372,Patuakhali
Development,WAS,Burkina Faso,ACDI,Victory Against Malnutrition (ViM),7/11/11,," $6,609,000 ",Includes $5 million in CDF each year,ACDI,13.4108,-1.0522,Barsalogho
Development,WAS,Burkina Faso,ACDI,Victory Against Malnutrition (ViM),7/11/11,," $6,609,000 ",Includes $5 million in CDF each year,ACDI,13.083333,-1.083333,Kaya
Development,WAS,Burkina Faso,ACDI,Victory Against Malnutrition (ViM),7/11/11,," $6,609,000 ",Includes $5 million in CDF each year,ACDI,13.1637,-0.81943,Pissila
